alpha2,level
AT,country
AU,country
BE,country
BG,country
BR,country
CA,country
CH,country
CN,country
CY,country
CZ,country
DE,country
DK,country
EE,country
ES,country
FI,country
FR,country
GB,country
GR,country
HR,country
HU,country
ID,country
IE,country
IN,country
IT,country
JP,country
KR,country
LT,country
LU,country
LV,country
MT,country
MX,country
NL,country
NO,country
PL,country
PT,country
RO,country
RU,country
SE,country
SI,country
SK,country
TR,country
TW,country
US,country
ZA,country
WA,region
WE,region
WF,region
WL,region
WM,region
